"","Symbol","industry"
"570","CELC","Diagnostics &amp; Research"
"571","CELG","Drug Manufacturers - Major"
"572","CELGZ",NA
"573","CLDX","Biotechnology"
"574","APOP","Biotechnology"
"575","APOPW",NA
"576","CLRB","Biotechnology"
"577","CLRBW",NA
"578","CLRBZ",NA
"579","CLLS","Biotechnology"
"580","CBMG","Biotechnology"
"581","CLSN","Biotechnology"
"582","CELH","Beverages - Soft Drinks"
"583","CYAD","Biotechnology"
"584","CETX","Pollution &amp; Treatment Controls"
"585","CETXP","Pollution &amp; Treatment Controls"
"586","CETXW",NA
"587","CDEV","Oil &amp; Gas E&amp;P"
"588","CSFL","Banks - Regional - US"
"589","CETV","Broadcasting - TV"
"590","CFBK","Banks - Regional - US"
"591","CENT","Packaged Foods"
"592","CENTA","Packaged Foods"
"593","CVCY","Banks - Regional - US"
"594","CTRC","Apparel Manufacturing"
"595","CENX","Aluminum"
"596","CNBKA","Banks - Regional - US"
"597","CNTY","Resorts &amp; Casinos"
"598","CRNT","Communication Equipment"
"599","CERC","Biotechnology"
"600","CERN","Health Information Services"
"601","CERS","Biotechnology"
"602","KOOL","Medical Devices"
"603","CEVA","Semiconductors"
"604","CFFA","Conglomerates"
"605","CFFAU","Conglomerates"
"606","CFFAW",NA
"607","CSBR","Biotechnology"
"608","CYOU","Electronic Gaming &amp; Multimedia"
"609","BURG","Restaurants"
"610","CTHR","Luxury Goods"
"611","GTLS","Metal Fabrication"
"612","CHTR","Pay TV"
"613","CTAC","Conglomerates"
"614","CTACU","Conglomerates"
"615","CTACW",NA
"616","CHKP","Software - Application"
"617","CHEK","Diagnostics &amp; Research"
"618","CHEKW",NA
"619","CHEKZ",NA
"620","CKPT","Biotechnology"
"621","CEMI","Diagnostics &amp; Research"
"622","CHFC","Banks - Regional - US"
"623","CCXI","Biotechnology"
"624","CHMG","Banks - Regional - US"
"625","CHKE","Apparel Stores"
"626","CHFS","Medical Devices"
"627","CHMA","Biotechnology"
"628","CSSE","Broadcasting - TV"
"629","CSSEP","Broadcasting - TV"
"630","PLCE","Apparel Stores"
"631","CMRX","Biotechnology"
"632","CADC","Building Materials"
"633","CAAS","Auto Parts"
"634","GLG","Credit Services"
"635","CBPO","Biotechnology"
"636","CCCL","Building Materials"
"637","CCRC","Business Services"
"638","JRJC","Capital Markets"
"639","HGSH","Real Estate - General"
"640","CIFS","Capital Markets"
"641","CJJD","Pharmaceutical Retailers"
"642","CLDC","Credit Services"
"643","CHNR","Industrial Metals &amp; Minerals"
"644","CREG","Waste Management"
"645","SXTC","Drug Manufacturers - Specialty &amp; Generic"
"646","CNTF","Communication Equipment"
"647","CXDC","Rubber &amp; Plastics"
"648","CCIH","Internet Content &amp; Information"
"649","CNET","Advertising Agencies"
"650","IMOS","Semiconductors"
"651","CDXC","Biotechnology"
"652","CHSCL","Farm Products"
"653","CHSCM","Farm Products"
"654","CHSCN","Farm Products"
"655","CHSCO","Farm Products"
"656","CHSCP","Farm Products"
