"","Symbol","industry"
"534","CAI^A",NA
"535","CAI^B",NA
"536","CAL","Footwear & Accessories"
"537","CRC","Oil & Gas E&P"
"538","CWT","Utilities - Regulated Water"
"539","CALX","Communication Equipment"
"540","ELY","Leisure"
"541","CPE","Oil & Gas E&P"
"542","CPE^A",NA
"543","CBM","Biotechnology"
"544","CPT","REIT - Residential"
"545","CCJ","Industrial Metals & Minerals"
"546","CPB","Packaged Foods"
"547","CWH","Recreational Vehicles"
"548","GOOS","Apparel Manufacturing"
"549","CM","Banks - Global"
"550","CNI","Railroads"
"551","CNQ","Oil & Gas E&P"
"552","CP","Railroads"
"553","CANG","Internet Content & Information"
"554","CNNE","Asset Management"
"555","CTST","Drug Manufacturers - Specialty & Generic"
"556","CAJ","Business Equipment"
"557","CGC","Drug Manufacturers - Specialty & Generic"
"558","CMD","Medical Instruments & Supplies"
"559","COF","Credit Services"
"560","COF^C",NA
"561","COF^D",NA
"562","COF^F",NA
"563","COF^G",NA
"564","COF^H",NA
"565","COF^P",NA
"566","CSU","Long-Term Care Facilities"
"567","BXMT","REIT - Diversified"
"568","CIC","Conglomerates"
"569","CIC.U",NA
"570","CIC.WS",NA
"571","CPRI","Apparel Manufacturing"
"572","CMO","REIT - Residential"
"573","CMO^E",NA
"574","CRR","Oil & Gas Equipment & Services"
"575","CAH","Medical Distribution"
"576","CRCM","Internet Content & Information"
"577","CSL","Conglomerates"
"578","KMX","Auto & Truck Dealerships"
"579","CCL","Leisure"
"580","CUK","Leisure"
"581","CRS","Metal Fabrication"
"582","CSV","Personal Services"
"583","CARS","Auto & Truck Dealerships"
"584","CRI","Apparel Manufacturing"
"585","CVNA","Specialty Retail"
"586","CSLT","Software - Application"
"587","CTLT","Drug Manufacturers - Specialty & Generic"
"588","CTT           ","REIT - Diversified"
"589","CAT","Farm & Construction Equipment"
"590","CATO","Apparel Stores"
"591","CBZ","Business Services"
"592","CBL","REIT - Retail"
"593","CBL^D",NA
"594","CBL^E",NA
"595","CBO",NA
"596","IGR","Asset Management"
"597","CBRE","Real Estate Services"
"598","CBS","Media - Diversified"
"599","CBS.A",NA
"600","CBX",NA
"601","FUN","Leisure"
"602","CDR","REIT - Retail"
"603","CDR^B",NA
"604","CDR^C",NA
"605","CE","Chemicals"
"606","CLS","Contract Manufacturers"
"607","CEL","Telecom Services"
"608","CPAC","Building Materials"
"609","CX","Building Materials"
"610","CVE","Oil & Gas Integrated"
"611","CNC","Health Care Plans"
"612","CEN","Asset Management"
"613","CNP","Utilities - Regulated Gas"
"614","CNP^B",NA
"615","EBR","Utilities - Regulated Electric"
"616","EBR.B",NA
"617","CEPU","Utilities - Regulated Electric"
"618","CCS","Residential Construction"
"619","CTL","Telecom Services"
"620","CDAY","Software - Application"
"621","CF","Agricultural Inputs"
"622","GIB","Information Technology Services"
"623","ECOM          ","Software - Application"
"624","CHAP","Oil & Gas E&P"
"625","CHRA","Waste Management"
"626","CRL","Diagnostics & Research"
"627","CLDT","REIT - Hotel & Motel"
"628","CMCM","Software - Application"
"629","CHGG","Education & Training Services"
"630","CHE","Medical Care"
"631","CC","Specialty Chemicals"
"632","CHMI","REIT - Residential"
"633","CHMI^A",NA
"634","CHMI^B",NA
"635","CHK","Oil & Gas E&P"
"636","CHK^D",NA
"637","CHKR","Oil & Gas E&P"
"638","CHSP","REIT - Hotel & Motel"
"639","CPK","Utilities - Regulated Gas"
"640","CVX","Oil & Gas Integrated"
"641","CHS","Apparel Stores"
"642","CIM","REIT - Diversified"
"643","CIM^A",NA
"644","CIM^B",NA
"645","CIM^C",NA
"646","CIM^D",NA
"647","DL","Education & Training Services"
"648","CEA","Airlines"
"649","CHN","Asset Management"
"650","CGA","Agricultural Inputs"
"651","LFC","Insurance - Life"
"652","CHL","Telecom Services"
"653","BORN","Beverages - Wineries & Distilleries"
"654","COE","Education & Training Services"
"655","SNP","Oil & Gas Integrated"
"656","XRF","Credit Services"
"657","ZNH","Airlines"
"658","CHA","Telecom Services"
"659","CHU","Telecom Services"
"660","CYD","Diversified Industrials"
"661","CMG","Restaurants"
"662","CHH","Lodging"
"663","CBK","Apparel Stores"
"664","CB","Insurance - Property & Casualty"
"665","CHT","Telecom Services"
"666","CHD","Household & Personal Products"
"667","CCC","Conglomerates"
"668","CCC.U",NA
"669","CCC.WS",NA
"670","CIEN","Communication Equipment"
"671","CI","Health Care Plans"
"672","XEC","Oil & Gas E&P"
"673","CBB","Telecom Services"
"674","CBB^B",NA
"675","CNK","Media - Diversified"
"676","CINR","Industrial Metals & Minerals"
"677","CIR","Diversified Industrials"
"678","CISN","Software - Application"
"679","CIT","Banks - Regional - US"
"680","BLW","Asset Management"
"681","C","Banks - Global"
"682","C^J",NA
"683","C^K",NA
"684","C^N",NA
"685","C^S",NA
"686","CFG","Banks - Regional - US"
"687","CFG^D",NA
"688","CIA","Insurance - Life"
"689","CIO","REIT - Office"
"690","CIO^A",NA
"691","CVEO","Business Services"
"692","CLH","Waste Management"
"693","CCO","Marketing Services"
"694","EMO","Asset Management"
"695","CEM","Asset Management"
"696","CTR","Asset Management"
"697","CLW","Paper & Paper Products"
"698","CWEN","Utilities - Regulated Electric"
"699","CWEN.A",NA
"700","CLF","Industrial Metals & Minerals"
"701","CLPR","REIT - Diversified"
"702","CLX","Household & Personal Products"
"703","CLD","Coal"
"704","CLDR","Software - Application"
"705","CMS","Utilities - Regulated Electric"
"706","CMS^B",NA
"707","CMSA",NA
"708","CMSC",NA
"709","CMSD",NA
"710","CNA","Insurance - Property & Casualty"
"711","CNF","Credit Services"
"712","CNHI","Farm & Construction Equipment"
"713","CNO","Insurance - Life"
"714","CEO","Oil & Gas E&P"
"715","CNXM","Oil & Gas Midstream"
"716","CEIX","Coal"
"717","CNX","Oil & Gas E&P"
"718","KOF","Beverages - Soft Drinks"
"719","KO","Beverages - Soft Drinks"
"720","CCEP","Beverages - Soft Drinks"
"721","CDE","Gold"
"722","FOF","Asset Management"
"723","INB","Asset Management"
"724","CNS","Asset Management"
"725","UTF","Asset Management"
"726","LDP",NA
"727","MIE","Asset Management"
"728","RQI","Asset Management"
"729","RNP","Asset Management"
"730","PSF","Asset Management"
"731","RFI","Asset Management"
"732","CFX","Diversified Industrials"
"733","CFXA","Diversified Industrials"
"734","CL","Household & Personal Products"
"735","CCH","Conglomerates"
"736","CCH.U",NA
"737","CCH.WS",NA
"738","CXE","Asset Management"
"739","CIF","Asset Management"
"740","CXH","Asset Management"
"741","CMU","Asset Management"
"742","CLNY","REIT - Diversified"
"743","CLNY^B",NA
"744","CLNY^E",NA
"745","CLNY^G",NA
"746","CLNY^H",NA
"747","CLNY^I",NA
"748","CLNY^J",NA
"749","CLNC","REIT - Office"
"750","CXP","REIT - Office"
"751","STK","Asset Management"
"752","CCZ",NA
"753","CMA","Banks - Regional - US"
"754","FIX","Engineering & Construction"
"755","CMC","Steel"
"756","CBU","Banks - Regional - US"
"757","CYH","Medical Care"
"758","CHCT","REIT - Healthcare Facilities"
"759","CIG","Utilities - Diversified"
"760","CIG.C",NA
"761","CBD","Department Stores"
"762","SBS","Utilities - Regulated Water"
"763","ELP","Utilities - Diversified"
"764","CCU","Beverages - Brewers"
"765","CODI","Conglomerates"
"766","CODI^A",NA
"767","CODI^B",NA
"768","CMP","Industrial Metals & Minerals"
"769","CRK","Oil & Gas E&P"
"770","CAG","Packaged Foods"
"771","CXO","Oil & Gas E&P"
"772","CCM","Medical Care"
"773","CNDT","Business Services"
"774","COP","Oil & Gas E&P"
"775","CCR","Coal"
"776","ED","Utilities - Regulated Electric"
"777","STZ","Beverages - Wineries & Distilleries"
"778","STZ.B",NA
"779","CSTM","Aluminum"
"780","TCS","Specialty Retail"
"781","CBPX","Building Materials"
"782","CLR","Oil & Gas E&P"
"783","VLRS","Airlines"
"784","CTRA","Coal"
"785","CTB","Rubber & Plastics"
"786","CPS","Auto Parts"
"787","CTK","Software - Application"
"788","CPA","Airlines"
"789","CLB","Oil & Gas Equipment & Services"
"790","CXW","REIT - Diversified"
"791","CLGX","Business Services"
"792","CORR","REIT - Diversified"
"793","CORR^A",NA
"794","CPLG","REIT - Hotel & Motel"
"795","COR","REIT - Office"
"796","GLW","Electronic Components"
"797","CAAP","Airports & Air Services"
"798","GYC",NA
"799","OFC","REIT - Office"
"800","CZZ","Utilities - Diversified"
"801","CMRE","Integrated Shipping & Logistics"
"802","CMRE^B",NA
"803","CMRE^C",NA
"804","CMRE^D",NA
"805","CMRE^E",NA
"806","COT","Beverages - Soft Drinks"
"807","COTY","Household & Personal Products"
"808","CUZ","REIT - Diversified"
"809","CVA","Waste Management"
"810","CVIA","Industrial Metals & Minerals"
"811","CPF","Banks - Regional - US"
"812","CPL","Utilities - Regulated Electric"
"813","CR","Diversified Industrials"
"814","CRD.A",NA
"815","CRD.B",NA
"816","BAP","Banks - Regional - Latin America"
"817","CS","Banks - Global"
"818","CPG","Oil & Gas E&P"
"819","CEQP","Oil & Gas Midstream"
"820","CRH","Building Materials"
"821","CRT","Oil & Gas E&P"
"822","CAPL","Oil & Gas Refining & Marketing"
"823","CCI","REIT - Diversified"
"824","CCI^A",NA
"825","CCK","Packaging & Containers"
"826","CRY","Medical Devices"
"827","CSS","Specialty Retail"
"828","CTS","Electronic Components"
"829","CUBE","REIT - Industrial"
"830","CUB","Aerospace & Defense"
"831","CFR","Banks - Regional - US"
"832","CFR^A",NA
"833","CULP","Textile Manufacturing"
"834","CMI","Diversified Industrials"
"835","CURO","Credit Services"
"836","CW","Diversified Industrials"
"837","SRF","Asset Management"
"838","SRV","Asset Management"
"839","SZC","Asset Management"
"840","CWK","Real Estate Services"
"841","CUBI","Banks - Regional - US"
"842","CUBI^C",NA
"843","CUBI^D",NA
"844","CUBI^E",NA
"845","CUBI^F",NA
"846","CVI","Oil & Gas Refining & Marketing"
"847","UAN","Agricultural Inputs"
"848","CVS","Health Care Plans"
"849","CELP","Oil & Gas Equipment & Services"
"850","DHI","Residential Construction"
"851","DAN","Auto Parts"
"852","DHR","Diagnostics & Research"
"853","DHR^A",NA
"854","DAC","Shipping & Ports"
"855","DQ","Semiconductor Equipment & Materials"
"856","DRI","Restaurants"
"857","DAR","Waste Management"
"858","DVA","Medical Care"
"859","DCP","Oil & Gas Midstream"
"860","DCP^B",NA
"861","DCP^C",NA
"862","DF","Packaged Foods"
"863","DECK","Footwear & Accessories"
"864","DE","Farm & Construction Equipment"
"865","DEX","Asset Management"
"866","DDF","Asset Management"
"867","DKL","Oil & Gas Midstream"
"868","DK","Oil & Gas Refining & Marketing"
"869","DELL","Computer Systems"
"870","DLPH","Auto Parts"
"871","DAL","Airlines"
"872","DLX","Business Services"
"873","DNR","Oil & Gas E&P"
"874","DESP","Leisure"
"875","DKT",NA
"876","DB","Banks - Regional - Europe"
"877","DXB",NA
"878","DVN","Oil & Gas E&P"
"879","DHX","Staffing & Outsourcing Services"
"880","DHT","Shipping & Ports"
"881","DEO","Beverages - Wineries & Distilleries"
"882","DO","Oil & Gas Drilling"
"883","DSSI$",NA
"884","DRH","REIT - Hotel & Motel"
"885","DSX","Shipping & Ports"
"886","DSX^B",NA
"887","DKS","Specialty Retail"
"888","DBD","Software - Application"
"889","DLR","REIT - Office"
"890","DLR^C",NA
"891","DLR^G",NA
"892","DLR^H.CL",NA
"893","DLR^I",NA
"894","DLR^J",NA
